index,Path,MD5Hash,count,basename,scorer1,scorer2,scorer3
82,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/1/DSC_0103.TIF,376bd3c9083b1e4428eadd685aa23e36,30,DSC_0103.TIF,JoshW,Raf,Yuxuan
84,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/2/DSC_0105.TIF,87b1e8fb261b5d7cf752cc5124f9ffe7,30,DSC_0105.TIF,JoshW,Raf,Yuxuan
91,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/5/DSC_0112.TIF,ad22ef65dad780c9068ddea694d6ff39,30,DSC_0112.TIF,JoshW,Raf,Yuxuan
18,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/211117-images/_DSC0170.tif,96b70eb097703bf5e3e079b75739859b,80,_DSC0170.tif,JoshW,Raf,Yuxuan
22,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/New_data_from_Adam/i2i3_scoring/210908-images/_DSC8786.tif,689d9aa19f8ceba08beb32f357e1b05c,64,_DSC8786.tif,JoshW,Raf,Yuxuan
81,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9242.TIF,65f8adce771a5efbbbeedbf7a50a223b,30,DSC_9242.TIF,JoshW,Raf,Yuxuan
25,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/21-01-2022-images/_DSC1805.tif,f966be6fce8fbaabd506f1941618949d,128,_DSC1805.tif,JoshW,Raf,Yuxuan
7,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211106-images/_DSC0024.tif,76283284578a47456a8ee8e813cdffb5,64,_DSC0024.tif,JoshW,Raf,Yuxuan
100,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/4/DSC_0213.TIF,6125d28e14c3e2839042bf91b5e69117,30,DSC_0213.TIF,JoshW,Raf,Yuxuan
78,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9239.TIF,85cc5883c2e930bb80f237b023efa3ed,30,DSC_9239.TIF,JoshB,JoshW,Raf
37,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1RGA5_M1APB_APia_scoring/211106-images/_DSC0025-AVRPib.tif,2ef1739117c38409a1892625c2641a8e,8,_DSC0025-AVRPib.tif,JoshB,JoshW,Raf
55,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3616.tif,60faa91663e2c33a839ded0b7c53fa7c,30,DSC_3616.tif,JoshB,JoshW,Raf
89,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/4/DSC_0110.TIF,c40882cad4dfc45acd86d3bc3999b108,30,DSC_0110.TIF,JoshB,JoshW,Raf
0,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/i2i3_scoring/210908-images/_DSC8785.tif,4886c67d22c14e18198ef58cc8f54099,64,_DSC8785.tif,JoshB,JoshW,Raf
56,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3617.tif,57d93aa1deeadd9d032118f9f702f696,30,DSC_3617.tif,JoshB,JoshW,Raf
58,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/MP/1/_DSC1014.TIF,2105a21c4985dce9b0ba4cc206a7ffca,30,_DSC1014.TIF,JoshB,JoshW,Raf
31,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/26-01-2022-images/_DSC1646.tif,63f4ec30242d4081efbb2127558e2de2,120,_DSC1646.tif,JoshB,JoshW,Raf
64,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/PM/1/_DSC1016.TIF,64cd5d8d4932869cd9c96b9feaab9816,30,_DSC1016.TIF,JoshB,JoshW,Raf
70,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9231.TIF,d408ebb11ff9e89a83274ba4ce761f11,30,DSC_9231.TIF,JoshB,JoshW,Raf
101,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/4/DSC_0214.TIF,6d5e7aa437f5e801a64157e7bb02f584,30,DSC_0214.TIF,JoshB,JoshW,Raf
86,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/3/DSC_0107.TIF,71f5a91b06d792108a48c62b1ba8455c,30,DSC_0107.TIF,JoshB,JoshW,Raf
54,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3615.tif,6d2ad692ffa9571475714750832a8beb,30,DSC_3615.tif,JoshB,JoshW,Raf
32,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/26-01-2022-images/_DSC1647.tif,8667ee9e1c3c49704ba39ae70e274ce3,128,_DSC1647.tif,Caroline,JoshB,JoshW
104,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/6/DSC_0217.TIF,5bb469fa3dcdb2c3a99aa47fb6b031c4,30,DSC_0217.TIF,Caroline,JoshB,JoshW
67,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/PM/2/_DSC1160.TIF,e7759ae3bd45f90124c7e74f70509793,30,_DSC1160.TIF,Caroline,JoshB,JoshW
8,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211106-images/_DSC0023.tif,4cf388b71dbdf78f2355a202b5ba2311,64,_DSC0023.tif,Caroline,JoshB,JoshW
57,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3618.tif,0d6b933ad3bf036c98a3e71f21b8dc33,30,DSC_3618.tif,Caroline,JoshB,JoshW
14,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/Rescored/APB_DCF/_DSC9859.tif,bb99960d875eeeadac6fc54b9fa5b7e4,56,_DSC9859.tif,Caroline,JoshB,JoshW
96,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/2/DSC_0209.TIF,121206f781df3eafca45c55cbe739680,30,DSC_0209.TIF,Caroline,JoshB,JoshW
4,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211117-images/_DSC0175.tif,52c08a3c525e8b2d6e54e067fb995ade,112,_DSC0175.tif,Caroline,JoshB,JoshW
103,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/5/DSC_0216.TIF,7f7a3d0e7db729d12a04f4608cdf108a,30,DSC_0216.TIF,Emma,Caroline,JoshB
59,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/MP/1/_DSC1015.TIF,f72d44014f308efb49ab107f7df7a8da,30,_DSC1015.TIF,Emma,Caroline,JoshB
29,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/22-09-2021-images/_DSC9260.tif,da660a4f69d8e3cfdfc7e31f208afbc9,80,_DSC9260.tif,Emma,Caroline,JoshB
17,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/New_data_from_Adam/M1APB_D_C_F_scoring/21012022-images/_DSC1648.tif,03fcb9a835feb4e9e75aeb915ff6e427,128,_DSC1648.tif,Emma,Caroline,JoshB
83,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/1/DSC_0104.TIF,1988236f14bd13664cb5582ad37a5bac,30,DSC_0104.TIF,Emma,Caroline,JoshB
38,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1RGA5_M1APB_APia_scoring/211028-images/_DSC9854.tif,b78e21cf2d825f59b7eb92a35b278d07,40,_DSC9854.tif,Emma,Caroline,JoshB
48,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0770.tif,02870460a6889dd53adca39232d0dd91,30,_DSC0770.tif,Emma,Caroline,JoshB
24,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/New_data_from_Adam/i2i3_scoring/210908-images/_DSC8788.tif,caf2ff16b6ddb86b5da1a32fd8724a02,64,_DSC8788.tif,Emma,Caroline,JoshB
61,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/MP/2/_DSC1158.TIF,f70e32ffbd33393ebcf20968b6162c76,30,_DSC1158.TIF,Emma,Caroline,JoshB
52,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/2/DSC_3613.tif,38992620ff48f1331e0caa2dabb90239,30,DSC_3613.tif,Emma,Caroline,JoshB
90,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/5/DSC_0111.TIF,f353d3031b61460f718fb9431d81adef,30,DSC_0111.TIF,Mark,Emma,Caroline
99,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/3/DSC_0212.TIF,bb4e5014fa34f7f05a9a1c944a5a712a,30,DSC_0212.TIF,Mark,Emma,Caroline
63,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/MP/3/_DSC1333.TIF,5a57649c0f47bc5cda0b2f937a01f136,30,_DSC1333.TIF,Mark,Emma,Caroline
87,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Repeat1/3/DSC_0108.TIF,f796ec2ee6638b773a0b59c04e9b2244,30,DSC_0108.TIF,Mark,Emma,Caroline
43,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0765.tif,204d5508192cba0b7aa351b23374afa6,30,_DSC0765.tif,Mark,Emma,Caroline
39,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1RGA5_M1APB_APia_scoring/211028-images/_DSC9856.tif,66da7eca605db26016bff689a59b223f,40,_DSC9856.tif,Mark,Emma,Caroline
76,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/Beta/DSC_9237.TIF,401349c95ff16caf7a2cc0a4be62acf2,30,DSC_9237.TIF,Mark,Emma,Caroline
13,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/Rescored/APB_DCF/_DSC9858.tif,f1726556588f26d54f14083c84f87dc4,64,_DSC9858.tif,Mark,Emma,Caroline
95,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/B/Chimeras/repeat2/1/DSC_0208.TIF,25c5ee593442ee7a400530061df534fe,30,DSC_0208.TIF,Mark,Emma,Caroline
30,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/M1R5_M1APB_D_scoring/22-09-2021-images/_DSC9261.tif,66b92b23aa1d60ecf93aa2cb8638a18d,80,_DSC9261.tif,Mark,Emma,Caroline
2,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/i2i3_scoring/210908-images/_DSC8787.tif,04ffd6814c6de25bf5d71f57175ee48b,56,_DSC8787.tif,Mark,Emma,Caroline
42,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Piik (DeltaHMA)/1/_DSC0764.tif,f2c79b668c3a534abc619d3f6b689572,30,_DSC0764.tif,Mark,Emma,Caroline
6,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211111-images/_DSC0139.tif,611c46b241574e91e213bb72ab62f16f,64,_DSC0139.tif,Adam,Mark,Emma
5,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211111-images/_DSC0138.tif,a44d9af0a8727a03c0bec1c0f36c2144,64,_DSC0138.tif,Adam,Mark,Emma
62,/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Fig2_leaf_images/A/HMAswap/MP/3/_DSC1332.TIF,30f0ab962a15341a11816ea0586f7acc,30,_DSC1332.TIF,Adam,Mark,Emma
